alarm_id,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00
CC6.Bin_BRight_Full,0,0,1,1,2,1,0,1,1,1,4,2,3,1,1,3,2,2,1,1,1,0,2,0
CC7.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC8.Bin_BLeft_Full,0,0,3,1,3,1,2,2,0,1,1,3,3,3,3,3,1,1,1,3,2,1,1,1
CC8.Bin_BRight_Full,0,0,3,2,2,1,2,2,1,0,2,2,3,4,3,2,2,1,2,3,3,1,1,1
CC9.Bin_BRight_Full,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC10.Bin_BLeft_Full,0,0,3,1,3,2,3,4,0,1,4,4,4,5,4,4,1,2,2,4,3,2,2,1
CC10.Bin_BRight_Full,0,0,5,2,3,2,3,3,1,1,3,4,4,4,4,4,2,1,2,4,2,2,3,1
CC11.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12.Bin_BLeft_Full,0,0,3,2,3,1,3,3,0,1,5,3,4,5,4,4,2,1,2,4,2,1,2,1
CC12.Bin_BRight_Full,0,0,3,2,3,1,3,3,1,1,3,4,4,4,3,5,2,0,3,3,3,3,2,1
CC13.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC14.Bin_BLeft_Full,0,0,2,1,1,1,1,2,0,1,1,2,2,1,2,2,1,1,1,1,2,0,1,0
CC14.Bin_BRight_Full,0,0,1,1,2,0,2,1,0,1,2,1,2,3,1,1,2,0,1,3,1,1,0,1
CC15.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC16.Bin_BLeft_Full,0,0,1,2,0,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
CC16.Bin_BRight_Full,0,0,2,2,1,2,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0
CC17.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC18.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC18.Bin_BRight_Full,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC19.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC20.Bin_BLeft_Full,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC20.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC21.Bin_BRight_Full,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC22.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CC22.Bin_BRight_Full,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC23.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC24.Bin_BLeft_Full,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
CC24.Bin_BRight_Full,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
CC25.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC26.Bin_BLeft_Full,0,0,0,1,1,2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1
CC26.Bin_BRight_Full,0,0,0,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
CC27.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC28.Bin_BLeft_Full,0,0,1,1,0,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
CC28.Bin_BRight_Full,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1
CC29.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CC30.Bin_BLeft_Full,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CC30.Bin_BRight_Full,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
CC31.Bin_BRight_Full,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC32.Bin_BLeft_Full,0,0,2,2,1,0,0,1,0,1,1,2,1,2,3,1,1,1,1,1,1,1,0,1
CC32.Bin_BRight_Full,0,0,2,1,1,1,0,2,0,0,2,1,2,2,2,2,1,0,1,1,1,1,1,0
CC36.Bin_BLeft_Full,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC36.Bin_BRight_Full,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC37.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CC38.Bin_BLeft_Full,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CC38.Bin_BRight_Full,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CC39.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CC40.Bin_BLeft_Full,0,0,1,1,1,1,0,2,0,1,1,1,1,1,2,1,1,0,1,2,1,1,1,0
CC40.Bin_BRight_Full,0,0,1,1,1,0,1,1,1,0,1,1,2,2,1,1,2,0,1,1,2,0,0,1
CC41.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC42.Bin_BLeft_Full,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1
CC42.Bin_BRight_Full,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0
CC43.Bin_BRight_Full,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CC44.Bin_BLeft_Full,0,0,2,1,0,1,1,1,0,0,2,1,0,1,1,1,0,0,1,2,1,0,1,0
CC44.Bin_BRight_Full,0,0,1,1,1,0,1,1,0,1,2,0,1,2,1,1,1,0,1,1,1,1,0,1
CC45.Bin_BRight_Full,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CC46.Bin_BLeft_Full,0,1,2,2,2,1,2,3,0,1,0,3,4,3,2,5,1,1,0,3,3,1,2,1
CC46.Bin_BRight_Full,0,0,3,1,2,1,2,2,1,0,3,3,3,4,3,2,1,1,2,3,1,2,3,0
CC47.Bin_BRight_Full,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CC48.Bin_BLeft_Full,0,0,1,0,0,0,1,1,0,0,0,2,0,1,2,1,1,0,1,1,1,1,1,0
CC48.Bin_BRight_Full,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,2,0,1,1,1,1,1,0,1
CC49.Bin_BRight_Full,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CC50.Bin_BLeft_Full,0,0,3,3,2,1,3,3,0,2,4,4,3,4,3,3,3,1,1,3,3,2,2,1
CC50.Bin_BRight_Full,0,1,4,4,2,2,2,3,1,1,4,4,4,3,4,2,1,0,2,2,2,2,2,1
CC51.Bin_BRight_Full,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
CC52.Bin_BLeft_Full,0,0,2,2,3,1,3,3,0,2,4,3,4,4,4,3,1,1,1,3,1,1,1,1
CC52.Bin_BRight_Full,0,0,3,2,2,2,3,2,1,1,3,4,3,4,4,4,2,1,2,3,2,1,2,2
CC53.Bin_BRight_Full,0,0,0,2,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
CC54.Bin_BLeft_Full,0,0,3,2,1,2,1,2,1,0,3,2,3,1,3,3,1,1,2,2,2,1,2,1
CC54.Bin_BRight_Full,0,0,3,2,2,1,2,2,0,1,2,3,3,2,2,3,2,0,1,3,2,1,2,1
CC55.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CC56.Bin_BLeft_Full,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0
CC56.Bin_BRight_Full,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1
CC57.Bin_BRight_Full,0,0,1,1,0,2,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0
CC58.Bin_BLeft_Full,0,0,3,1,3,1,2,3,1,1,2,3,1,2,3,2,1,1,1,3,3,2,2,1
CC58.Bin_BRight_Full,0,0,2,2,2,2,2,3,0,1,2,3,2,2,3,2,2,1,2,3,2,2,2,1
CC59.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC60.Bin_BLeft_Full,0,0,2,1,1,2,1,2,0,1,2,2,2,2,3,2,0,1,1,2,2,2,1,1
CC60.Bin_BRight_Full,0,0,1,1,2,1,2,1,1,1,2,2,1,3,2,2,2,1,1,2,2,0,2,0
CC61.Bin_BRight_Full,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC62.Bin_BLeft_Full,0,0,2,1,2,2,1,2,0,1,2,2,3,3,2,2,2,1,1,2,2,1,2,1
CC62.Bin_BRight_Full,0,0,3,1,2,1,2,1,1,1,2,2,2,3,3,2,1,1,1,2,3,1,1,1
CC63.Bin_BRight_Full,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC64.Bin_BLeft_Full,0,0,2,3,2,1,3,3,1,1,4,5,3,4,4,4,1,1,2,3,2,2,1,1
CC64.Bin_BRight_Full,0,0,3,2,2,2,3,3,0,1,4,4,4,5,3,3,2,1,2,3,3,1,2,1
CC65.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC66.Bin_BLeft_Full,0,0,4,3,2,1,4,3,1,1,4,5,5,6,4,3,3,1,2,4,2,2,2,1
CC66.Bin_BRight_Full,0,0,4,3,3,1,4,4,1,1,3,6,5,6,5,3,2,1,3,4,3,3,2,2
CC67.Bin_BRight_Full,0,0,3,2,1,2,2,1,0,0,1,1,1,1,1,1,0,1,1,1,2,1,0,0
CC68.Bin_BLeft_Full,0,0,2,1,1,1,2,2,0,1,2,3,2,3,1,2,1,0,2,2,1,1,1,0
CC68.Bin_BRight_Full,0,0,2,1,2,1,2,1,1,1,2,1,3,4,1,2,1,0,1,2,1,1,1,1
CC69.Bin_BRight_Full,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
CC70.Bin_BLeft_Full,0,0,2,1,1,2,1,2,0,1,2,1,1,2,1,2,1,1,0,2,3,1,1,1
CC70.Bin_BRight_Full,0,0,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,0,1,2,1,1,2,0
CC71.Bin_BRight_Full,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
CC72.Bin_BLeft_Full,0,0,5,3,4,1,4,3,1,1,4,3,4,5,4,4,2,1,3,4,4,2,3,1
CC72.Bin_BRight_Full,0,0,5,4,3,2,4,5,0,1,5,3,5,4,3,4,2,1,3,5,3,4,2,2
CC73.Bin_BRight_Full,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CC74.Bin_BLeft_Full,0,0,13,12,9,11,9,8,3,3,11,12,11,9,10,11,4,4,10,9,7,8,6,5
CC74.Bin_BRight_Full,0,0,14,11,8,13,9,8,2,4,11,12,9,9,10,12,5,3,9,7,11,9,5,5
CC75.Bin_BRight_Full,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
CC76.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC76.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC77.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
