alarm_id,trigger_count,total_downtime
CC1.Bin_BLeft_Full,0,0 days 00:00:00
CC1.Bin_BRight_Full,0,0 days 00:00:00
CC2.Bin_BLeft_Full,0,0 days 00:00:00
CC2.Bin_BRight_Full,0,0 days 00:00:00
CC3.Bin_BLeft_Full,0,0 days 00:00:00
CC3.Bin_BRight_Full,0,0 days 00:00:00
CC4.Bin_BLeft_Full,0,0 days 00:00:00
CC4.Bin_BRight_Full,0,0 days 00:00:00
CC5.Bin_BLeft_Full,0,0 days 00:00:00
CC5.Bin_BRight_Full,0,0 days 00:00:00
CC6.Bin_BLeft_Full,0,0 days 00:00:00
CC6.Bin_BRight_Full,19,0 days 00:59:51.722000
CC7.Bin_BLeft_Full,0,0 days 00:00:00
CC7.Bin_BRight_Full,37,0 days 01:52:06.802000
CC8.Bin_BLeft_Full,40,0 days 01:27:13.706000
CC8.Bin_BRight_Full,43,0 days 01:48:31.168000
CC9.Bin_BLeft_Full,0,0 days 00:00:00
CC9.Bin_BRight_Full,28,0 days 01:06:14.960000
CC10.Bin_BLeft_Full,37,0 days 01:33:18.846000
CC10.Bin_BRight_Full,35,0 days 01:49:21.051000
CC11.Bin_BLeft_Full,0,0 days 00:00:00
CC11.Bin_BRight_Full,24,0 days 01:27:13.981000
CC12.Bin_BLeft_Full,34,0 days 01:34:49.850000
CC12.Bin_BRight_Full,36,0 days 01:49:45.792000
CC13.Bin_BLeft_Full,0,0 days 00:00:00
CC13.Bin_BRight_Full,23,0 days 00:42:47.641000
CC14.Bin_BLeft_Full,33,0 days 01:39:00.621000
CC14.Bin_BRight_Full,35,0 days 01:28:12.778000
CC15.Bin_BLeft_Full,0,0 days 00:00:00
CC15.Bin_BRight_Full,25,0 days 01:13:17.553000
CC16.Bin_BLeft_Full,31,0 days 01:40:35.343000
CC16.Bin_BRight_Full,42,0 days 01:51:49.858000
CC17.Bin_BLeft_Full,0,0 days 00:00:00
CC17.Bin_BRight_Full,20,0 days 01:13:33.201000
CC18.Bin_BLeft_Full,23,0 days 01:15:37.213000
CC18.Bin_BRight_Full,23,0 days 01:18:13.848000
CC19.Bin_BLeft_Full,0,0 days 00:00:00
CC19.Bin_BRight_Full,20,0 days 00:55:31.654000
CC20.Bin_BLeft_Full,24,0 days 01:35:27.766000
CC20.Bin_BRight_Full,23,0 days 01:37:13.109000
CC21.Bin_BLeft_Full,0,0 days 00:00:00
CC21.Bin_BRight_Full,17,0 days 00:52:48.741000
CC22.Bin_BLeft_Full,16,0 days 00:37:07.052000
CC22.Bin_BRight_Full,14,0 days 00:45:28.430000
CC23.Bin_BLeft_Full,0,0 days 00:00:00
CC23.Bin_BRight_Full,18,0 days 00:46:07.629000
CC24.Bin_BLeft_Full,17,0 days 01:05:47.475000
CC24.Bin_BRight_Full,19,0 days 01:10:47.866000
CC25.Bin_BLeft_Full,0,0 days 00:00:00
CC25.Bin_BRight_Full,21,0 days 01:06:16.827000
CC26.Bin_BLeft_Full,22,0 days 01:07:37.232000
CC26.Bin_BRight_Full,21,0 days 01:47:09.047000
CC27.Bin_BLeft_Full,0,0 days 00:00:00
CC27.Bin_BRight_Full,17,0 days 00:52:41.104000
CC28.Bin_BLeft_Full,14,0 days 00:53:17.749000
CC28.Bin_BRight_Full,18,0 days 01:16:18.523000
CC29.Bin_BLeft_Full,0,0 days 00:00:00
CC29.Bin_BRight_Full,16,0 days 01:00:00.075000
CC30.Bin_BLeft_Full,16,0 days 00:34:32.699000
CC30.Bin_BRight_Full,17,0 days 00:55:57.395000
CC31.Bin_BLeft_Full,0,0 days 00:00:00
CC31.Bin_BRight_Full,20,0 days 01:11:35.824000
CC32.Bin_BLeft_Full,18,0 days 01:22:06.503000
CC32.Bin_BRight_Full,19,0 days 00:57:34.527000
CC33.Bin_BLeft_Full,0,0 days 00:00:00
CC33.Bin_BRight_Full,0,0 days 00:00:00
CC34.Bin_BLeft_Full,0,0 days 00:00:00
CC34.Bin_BRight_Full,0,0 days 00:00:00
CC35.Bin_BLeft_Full,0,0 days 00:00:00
CC35.Bin_BRight_Full,0,0 days 00:00:00
CC36.Bin_BLeft_Full,18,0 days 01:48:03.519000
CC36.Bin_BRight_Full,16,0 days 01:09:10.156000
CC37.Bin_BLeft_Full,0,0 days 00:00:00
CC37.Bin_BRight_Full,16,0 days 01:19:58.921000
CC38.Bin_BLeft_Full,19,0 days 01:42:27.773000
CC38.Bin_BRight_Full,19,0 days 02:45:12.744000
CC39.Bin_BLeft_Full,0,0 days 00:00:00
CC39.Bin_BRight_Full,17,0 days 01:43:17.972000
CC40.Bin_BLeft_Full,14,0 days 01:14:46.207000
CC40.Bin_BRight_Full,17,0 days 02:27:19.564000
CC41.Bin_BLeft_Full,0,0 days 00:00:00
CC41.Bin_BRight_Full,19,0 days 02:13:12.907000
CC42.Bin_BLeft_Full,16,0 days 01:38:00.441000
CC42.Bin_BRight_Full,17,0 days 01:59:54.129000
CC43.Bin_BLeft_Full,0,0 days 00:00:00
CC43.Bin_BRight_Full,16,0 days 01:39:05.781000
CC44.Bin_BLeft_Full,15,0 days 01:01:26.249000
CC44.Bin_BRight_Full,14,0 days 01:00:13.441000
CC45.Bin_BLeft_Full,0,0 days 00:00:00
CC45.Bin_BRight_Full,8,0 days 00:29:19.240000
CC46.Bin_BLeft_Full,17,0 days 01:15:03.091000
CC46.Bin_BRight_Full,17,0 days 01:13:35.640000
CC47.Bin_BLeft_Full,0,0 days 00:00:00
CC47.Bin_BRight_Full,5,0 days 00:11:17.184000
CC48.Bin_BLeft_Full,18,0 days 00:51:39.469000
CC48.Bin_BRight_Full,15,0 days 01:07:49.178000
CC49.Bin_BLeft_Full,0,0 days 00:00:00
CC49.Bin_BRight_Full,28,0 days 01:57:55.540000
CC50.Bin_BLeft_Full,51,0 days 03:39:22.620000
CC50.Bin_BRight_Full,53,0 days 03:00:24.141000
CC51.Bin_BLeft_Full,0,0 days 00:00:00
CC51.Bin_BRight_Full,31,0 days 01:46:20.042000
CC52.Bin_BLeft_Full,55,0 days 04:45:42.894000
CC52.Bin_BRight_Full,60,0 days 04:30:12.818000
CC53.Bin_BLeft_Full,0,0 days 00:00:00
CC53.Bin_BRight_Full,49,0 days 03:21:28.015000
CC54.Bin_BLeft_Full,42,0 days 02:53:00.973000
CC54.Bin_BRight_Full,44,0 days 03:21:27.698000
CC55.Bin_BLeft_Full,0,0 days 00:00:00
CC55.Bin_BRight_Full,42,0 days 03:06:55.277000
CC56.Bin_BLeft_Full,61,0 days 04:52:14.110000
CC56.Bin_BRight_Full,64,0 days 04:18:15.870000
CC57.Bin_BLeft_Full,0,0 days 00:00:00
CC57.Bin_BRight_Full,45,0 days 02:55:09.676000
CC58.Bin_BLeft_Full,63,0 days 04:27:43.686000
CC58.Bin_BRight_Full,60,0 days 04:06:39.039000
CC59.Bin_BLeft_Full,0,0 days 00:00:00
CC59.Bin_BRight_Full,61,0 days 04:05:08.578000
CC60.Bin_BLeft_Full,63,0 days 05:33:28.833000
CC60.Bin_BRight_Full,74,0 days 04:27:21.345000
CC61.Bin_BLeft_Full,0,0 days 00:00:00
CC61.Bin_BRight_Full,44,0 days 03:23:01.450000
CC62.Bin_BLeft_Full,82,0 days 04:31:53.063000
CC62.Bin_BRight_Full,79,0 days 05:00:10.918000
CC63.Bin_BLeft_Full,0,0 days 00:00:00
CC63.Bin_BRight_Full,87,0 days 05:02:31.653000
CC64.Bin_BLeft_Full,69,0 days 03:49:53.251000
CC64.Bin_BRight_Full,74,0 days 04:19:26.055000
CC65.Bin_BLeft_Full,0,0 days 00:00:00
CC65.Bin_BRight_Full,84,0 days 03:42:12.576000
CC66.Bin_BLeft_Full,66,0 days 03:51:25.144000
CC66.Bin_BRight_Full,68,0 days 03:41:12.417000
CC67.Bin_BLeft_Full,0,0 days 00:00:00
CC67.Bin_BRight_Full,80,0 days 02:56:55.792000
CC68.Bin_BLeft_Full,81,0 days 04:59:17.477000
CC68.Bin_BRight_Full,82,0 days 04:25:42.151000
CC69.Bin_BLeft_Full,0,0 days 00:00:00
CC69.Bin_BRight_Full,86,0 days 04:56:04.683000
CC70.Bin_BLeft_Full,82,0 days 04:12:07.727000
CC70.Bin_BRight_Full,87,0 days 04:47:39.134000
CC71.Bin_BLeft_Full,0,0 days 00:00:00
CC71.Bin_BRight_Full,80,0 days 03:27:48.240000
CC72.Bin_BLeft_Full,1,0 days 00:09:09.770000
CC72.Bin_BRight_Full,0,0 days 00:00:00
CC73.Bin_BLeft_Full,0,0 days 00:00:00
CC73.Bin_BRight_Full,19,0 days 00:57:35.344000
CC74.Bin_BLeft_Full,4,0 days 00:06:15.516000
CC74.Bin_BRight_Full,3,0 days 00:10:05.311000
CC75.Bin_BLeft_Full,0,0 days 00:00:00
CC75.Bin_BRight_Full,66,0 days 04:22:51.781000
CC76.Bin_BLeft_Full,0,0 days 00:00:00
CC76.Bin_BRight_Full,0,0 days 00:00:00
CC77.Bin_BLeft_Full,0,0 days 00:00:00
CC77.Bin_BRight_Full,0,0 days 00:00:00
